日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2018/10/23,外資及陸資,213566,171567,234319087,588690,213018,168299,233966807,544123,548,3268,352280,44567.0,87217,133239,119647936,1335961,62453,150510,64232064,1429360,24764,-17271,55415872,-93399
2018/10/24,自營商,85444,676346,83433950,1244913,85710,682931,86561522,1256778,-266,-6585,-3127572,-11865.0,64150,138925,32497414,917772,92787,164123,37721756,911025,-28637,-25198,-5224342,6747
2018/10/24,投信,95,1981,184471,2752,515,175,998069,590,-420,1806,-813598,2162.0,6320,280,7911587,1393,34968,440,62018839,2966,-28648,-160,-54107252,-1573
2018/10/24,外資及陸資,291539,251469,323071703,698827,285991,255074,316495478,700428,5548,-3605,6576225,-1601.0,90132,129936,122817566,1316473,59816,140667,60851332,1391936,30316,-10731,61966234,-75463
2018/10/25,自營商,70186,304598,67025954,1173869,69218,320934,68029393,1187162,968,-16336,-1003439,-13293.0,66803,170747,33023259,1254517,94235,212237,39144110,1274121,-27432,-41490,-6120851,-19604
2018/10/25,投信,106,0,157057,0,2461,0,4653167,0,-2355,0,-4496110,0.0,6275,280,7651437,2711,37278,440,64982745,1697,-31003,-160,-57331308,1014
2018/10/25,外資及陸資,292735,147471,317008364,667466,284762,137873,304003593,600843,7973,9598,13004771,66623.0,95936,144095,130683871,1815283,57647,145228,57119876,1836867,38289,-1133,73563995,-21584
2018/10/26,自營商,75358,312177,72159219,1032518,72794,328628,69032373,1091702,2564,-16451,3126846,-59184.0,71815,186394,35796593,1314839,96893,244398,38772829,1383417,-25078,-58004,-2976236,-68578
2018/10/26,投信,189,242,349218,80,517,252,974473,1187,-328,-10,-625255,-1107.0,6258,280,7560166,3045,37589,450,65140827,2605,-31331,-170,-57580661,440
2018/10/26,外資及陸資,315591,158350,334735735,693625,308748,159893,331725607,679772,6843,-1543,3010128,13853.0,97684,155178,127669815,1981026,52552,157854,51479628,2000738,45132,-2676,76190187,-19712
2018/10/29,自營商,61723,268381,53011536,812883,60133,268273,53874775,733884,1590,108,-863239,78999.0,74418,200645,35395505,1287610,97603,258445,39254460,1278618,-23185,-57800,-3858955,8992
2018/10/29,投信,54,0,100901,0,58,0,108603,0,-4,0,-7702,0.0,6268,280,7606719,2396,37603,450,65494883,2830,-31335,-170,-57888164,-434
2018/10/29,外資及陸資,283604,142308,298829710,529287,280472,142462,294029608,519092,3132,-154,4800102,10195.0,96312,155865,124728974,1843416,48048,158695,43296177,1848533,48264,-2830,81432797,-5117
2018/10/30,自營商,59730,302154,52656122,603395,57103,296637,53606681,600134,2627,5517,-950559,3261.0,75130,219345,33922745,1228518,95421,271563,38770961,1217631,-20291,-52218,-4848216,10887
2018/10/30,投信,663,0,1262978,0,14,0,26652,0,649,0,1236326,0.0,6276,280,7662966,1798,36962,450,64624681,3149,-30686,-170,-56961715,-1351
2018/10/30,外資及陸資,226540,127309,232301261,400683,228302,128674,233916717,381887,-1762,-1365,-1615456,18796.0,100875,159138,131458085,1735428,54370,163333,51183714,1712333,46505,-4195,80274371,23095
2018/10/31,自營商,65963,560479,66252713,901955,63755,532936,64967097,874068,2208,27543,1285616,27887.0,77810,167771,35379720,1036292,96208,212819,39073420,1027802,-18398,-45048,-3693700,8490
2018/10/31,投信,1641,168,3186370,441,13,301,25220,348,1628,-133,3161150,93.0,6316,267,7903678,1071,35374,570,62912122,5496,-29058,-303,-55008444,-4425
2018/10/31,外資及陸資,203709,159308,219366436,437410,207162,155911,224473150,445088,-3453,3397,-5106714,-7678.0,99866,152285,132134696,1391783,56736,149784,55165275,1324495,43130,2501,76969421,67288
2018/11/01,自營商,49990,213413,45612576,592586,48195,220717,43645397,700842,1795,-7304,1967179,-108256.0,78766,187864,38627758,1047948,95687,240229,40300190,1149870,-16921,-52365,-1672432,-101922
2018/11/01,投信,1611,0,3138506,0,1,0,1950,0,1610,0,3136556,0.0,6623,267,8539738,749,34071,570,60771676,6159,-27448,-303,-52231938,-5410
2018/11/01,外資及陸資,176425,92504,180282755,429299,179630,77401,185940244,310683,-3205,15103,-5657489,118616.0,98023,169596,132781242,1442461,58098,151992,60955436,1236874,39925,17604,71825806,205587
2018/11/02,自營商,59462,250516,52358714,707798,56545,247056,53500548,680088,2917,3460,-1141834,27710.0,80066,200278,38445135,1071792,94610,249186,41256319,1157379,-14544,-48908,-2811184,-85587
2018/11/02,投信,205,0,373322,0,1119,0,1892306,0,-914,0,-1518984,0.0,6571,267,8509216,509,34933,570,62697542,7477,-28362,-303,-54188326,-6968
2018/11/02,外資及陸資,201482,116264,201200361,420812,193868,110080,191117614,403271,7614,6184,10082747,17541.0,104932,180377,144696063,1403647,57393,156589,62157955,1147019,47539,23788,82538108,256628
2018/11/05,自營商,50704,250122,52091782,667305,49681,272114,48041333,698556,1023,-21992,4050449,-31251.0,81182,205325,41004518,1086906,94637,276228,39697300,1203148,-13455,-70903,1307218,-116242
2018/11/05,投信,8,0,15672,0,1770,0,3473257,0,-1762,0,-3457585,0.0,6527,267,8367637,576,36651,570,65710533,6446,-30124,-303,-57342896,-5870
2018/11/05,外資及陸資,190246,117247,202773235,416394,199961,121997,215699727,425166,-9715,-4750,-12926492,-8772.0,96592,185272,133349805,1469942,58768,166234,64228853,1244271,37824,19038,69120952,225671
2018/11/06,自營商,46612,246472,41165137,491138,46284,246553,41455089,489376,328,-81,-289952,1762.0,82792,231882,40901898,1112083,95703,302848,39957618,1202391,-12911,-70966,944280,-90308
2018/11/06,投信,37,0,72300,0,834,0,1140663,0,-797,0,-1068363,0.0,6362,267,8010804,615,37283,570,66165307,5818,-30921,-303,-58154503,-5203
2018/11/06,外資及陸資,153015,93604,146036630,272373,151760,95158,146860062,269983,1255,-1554,-823432,2390.0,100124,195386,137090577,1503995,61045,177902,69089901,1287228,39079,17484,68000676,216767
2018/11/07,自營商,57682,429649,54270657,709828,58458,407332,55991775,681526,-776,22317,-1721118,28302.0,84266,193053,41352934,997957,97962,240075,42030032,1046326,-13696,-47022,-677098,-48369
2018/11/07,投信,631,171,1213737,289,215,168,312620,2,416,3,901117,287.0,6351,270,8041796,686,36856,570,65729126,6404,-30505,-300,-57687330,-5718
2018/11/07,外資及陸資,179792,148961,185092595,385011,173818,131366,176358872,352772,5974,17595,8733723,32239.0,106080,179502,146698860,1343866,61033,153446,69427404,1103440,45047,26056,77271456,240426
