日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2020/02/24,外資及陸資,192243,179619,229287576,686783,197154,188390,230988786,769279,-4911,-8771,-1701210,-82496.0,85589,94287,139219804,1036024,86365,138021,80608290,932800,-776,-43734,58611514,103224
2020/02/25,自營商,59463,449237,68640773,1184561,61224,458085,65802665,1177410,-1761,-8848,2838108,7151.0,41301,303474,36854510,1085135,100173,261852,42370119,1128540,-58872,41622,-5515609,-43405
2020/02/25,投信,208,0,480077,0,1252,0,599639,0,-1044,0,-119562,0.0,4920,90,6339474,344,26521,60,52517872,96,-21601,30,-46178398,248
2020/02/25,外資及陸資,248703,272039,305255842,976203,245662,271070,302653025,971075,3041,969,2602817,5128.0,88297,101308,143416114,1041402,86104,144073,81982829,894831,2193,-42765,61433285,146571
2020/02/26,自營商,65417,603753,75836784,1239014,66825,598228,75058388,1177445,-1408,5525,778396,61569.0,40817,259631,35656728,1353348,101421,198151,40454679,1211862,-60604,61480,-4797951,141486
2020/02/26,投信,527,60,1203915,146,335,61,760093,130,192,-1,443822,16.0,4941,89,6329155,512,26350,60,51537590,66,-21409,29,-45208435,446
2020/02/26,外資及陸資,265194,324540,334873984,891921,278014,343220,348981558,1056568,-12820,-18680,-14107574,-164647.0,85598,80392,137110291,1089199,89777,139316,90384657,1176887,-4179,-58924,46725634,-87688
2020/02/27,自營商,61777,356729,62187826,1473984,66095,348884,67629018,1360432,-4318,7845,-5441192,113552.0,43745,317871,36183029,1969752,108829,248637,46248610,1564444,-65084,69234,-10065581,405308
2020/02/27,投信,966,0,664484,0,470,0,1060836,0,496,0,-396352,0.0,4991,89,6364930,803,25904,60,51378031,42,-20913,29,-45013101,761
2020/02/27,外資及陸資,312646,188872,374451508,965484,313003,194376,377297416,1074443,-357,-5504,-2845908,-108959.0,86890,97348,136185709,1255560,91426,161776,92763783,1583452,-4536,-64428,43421926,-327892
